run_id,selector_method,selected_candidate_method,selected_lift,selector_no_test_leakage,selected_test_accuracy,oracle_pool_test_accuracy,test_regret_vs_oracle_pool,best_fallback_test_accuracy,delta_vs_best_fallback,selector_epsilon,selector_loss_slack
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4217,torsion_safe_selector,best_fallback,False,True,0.826,0.826,0.0,0.826,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4218,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4219,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4220,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4221,torsion_safe_selector,best_fallback,False,True,0.8215,0.8215,0.0,0.8215,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4222,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4223,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4224,torsion_safe_selector,best_fallback,False,True,0.8225,0.8225,0.0,0.8225,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4225,torsion_safe_selector,best_fallback,False,True,0.829,0.829,0.0,0.829,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4226,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4227,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4228,torsion_safe_selector,best_fallback,False,True,0.829,0.829,0.0,0.829,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_activation_seed4229,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4200,torsion_safe_selector,best_fallback,False,True,0.826,0.826,0.0,0.826,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4201,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4202,torsion_safe_selector,best_fallback,False,True,0.827,0.827,0.0,0.827,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4203,torsion_safe_selector,best_fallback,False,True,0.8245,0.8245,0.0,0.8245,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4204,torsion_safe_selector,best_fallback,False,True,0.8265,0.8265,0.0,0.8265,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4205,torsion_safe_selector,best_fallback,False,True,0.824,0.824,0.0,0.824,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4206,torsion_safe_selector,best_fallback,False,True,0.8285,0.8285,0.0,0.8285,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4207,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4208,torsion_safe_selector,best_fallback,False,True,0.823,0.825,0.0020000000000000018,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4209,torsion_safe_selector,best_fallback,False,True,0.824,0.824,0.0,0.824,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4210,torsion_safe_selector,best_fallback,False,True,0.821,0.821,0.0,0.821,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4211,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4212,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4213,torsion_safe_selector,best_fallback,False,True,0.8225,0.8225,0.0,0.8225,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4214,torsion_safe_selector,best_fallback,False,True,0.8195,0.8195,0.0,0.8195,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4215,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4216,torsion_safe_selector,best_fallback,False,True,0.8225,0.8225,0.0,0.8225,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4217,torsion_safe_selector,best_fallback,False,True,0.826,0.826,0.0,0.826,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4218,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4219,torsion_safe_selector,best_fallback,False,True,0.8255,0.8255,0.0,0.8255,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4220,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4221,torsion_safe_selector,best_fallback,False,True,0.8215,0.8215,0.0,0.8215,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4222,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4223,torsion_safe_selector,best_fallback,False,True,0.823,0.823,0.0,0.823,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4224,torsion_safe_selector,best_fallback,False,True,0.8225,0.8225,0.0,0.8225,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4225,torsion_safe_selector,best_fallback,False,True,0.829,0.829,0.0,0.829,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4226,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4227,torsion_safe_selector,best_fallback,False,True,0.825,0.825,0.0,0.825,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4228,torsion_safe_selector,best_fallback,False,True,0.829,0.829,0.0,0.829,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_input_noise_monomial_weight_seed4229,torsion_safe_selector,best_fallback,False,True,0.8235,0.8235,0.0,0.8235,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4200,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4201,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4202,torsion_safe_selector,best_fallback,False,True,0.83,0.83,0.0,0.83,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4203,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4204,torsion_safe_selector,best_fallback,False,True,0.832,0.832,0.0,0.832,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4205,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4206,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4207,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4208,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4209,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4210,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4211,torsion_safe_selector,best_fallback,False,True,0.8365,0.8365,0.0,0.8365,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4212,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4213,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4214,torsion_safe_selector,best_fallback,False,True,0.833,0.833,0.0,0.833,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4215,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4216,torsion_safe_selector,best_fallback,False,True,0.8305,0.8305,0.0,0.8305,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4217,torsion_safe_selector,best_fallback,False,True,0.8285,0.8285,0.0,0.8285,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4218,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4219,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4220,torsion_safe_selector,best_fallback,False,True,0.833,0.833,0.0,0.833,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4221,torsion_safe_selector,best_fallback,False,True,0.8355,0.8355,0.0,0.8355,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4222,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4223,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4224,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4225,torsion_safe_selector,best_fallback,False,True,0.832,0.832,0.0,0.832,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4226,torsion_safe_selector,best_fallback,False,True,0.837,0.837,0.0,0.837,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4227,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4228,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_activation_seed4229,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4200,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4201,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4202,torsion_safe_selector,best_fallback,False,True,0.83,0.83,0.0,0.83,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4203,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4204,torsion_safe_selector,best_fallback,False,True,0.832,0.832,0.0,0.832,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4205,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4206,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4207,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4208,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4209,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4210,torsion_safe_selector,best_fallback,False,True,0.831,0.831,0.0,0.831,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4211,torsion_safe_selector,best_fallback,False,True,0.8365,0.8365,0.0,0.8365,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4212,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4213,torsion_safe_selector,best_fallback,False,True,0.8335,0.8335,0.0,0.8335,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4214,torsion_safe_selector,best_fallback,False,True,0.833,0.833,0.0,0.833,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4215,torsion_safe_selector,best_fallback,False,True,0.8315,0.8315,0.0,0.8315,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4216,torsion_safe_selector,best_fallback,False,True,0.8305,0.8305,0.0,0.8305,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4217,torsion_safe_selector,best_fallback,False,True,0.8285,0.8285,0.0,0.8285,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4218,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4219,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4220,torsion_safe_selector,best_fallback,False,True,0.833,0.833,0.0,0.833,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4221,torsion_safe_selector,best_fallback,False,True,0.8355,0.8355,0.0,0.8355,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4222,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4223,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4224,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4225,torsion_safe_selector,best_fallback,False,True,0.832,0.832,0.0,0.832,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4226,torsion_safe_selector,best_fallback,False,True,0.837,0.837,0.0,0.837,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4227,torsion_safe_selector,best_fallback,False,True,0.8345,0.8345,0.0,0.8345,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4228,torsion_safe_selector,best_fallback,False,True,0.834,0.834,0.0,0.834,0.0,0.002,0.0
fashion_mnist_mlp_N4_W128_none_monomial_weight_seed4229,torsion_safe_selector,best_fallback,False,True,0.8325,0.8325,0.0,0.8325,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,torsion_safe_selector,best_fallback,False,True,0.817,0.817,0.0,0.817,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4201,torsion_safe_selector,best_fallback,False,True,0.816,0.816,0.0,0.816,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4202,torsion_safe_selector,best_fallback,False,True,0.8155,0.8155,0.0,0.8155,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4203,torsion_safe_selector,best_fallback,False,True,0.818,0.818,0.0,0.818,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4204,torsion_safe_selector,best_fallback,False,True,0.814,0.814,0.0,0.814,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4205,torsion_safe_selector,best_fallback,False,True,0.818,0.818,0.0,0.818,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4206,torsion_safe_selector,best_fallback,False,True,0.8185,0.8185,0.0,0.8185,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4207,torsion_safe_selector,best_fallback,False,True,0.8135,0.8135,0.0,0.8135,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4208,torsion_safe_selector,best_fallback,False,True,0.82,0.82,0.0,0.82,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4209,torsion_safe_selector,best_fallback,False,True,0.8105,0.8105,0.0,0.8105,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4210,torsion_safe_selector,best_fallback,False,True,0.812,0.812,0.0,0.812,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4211,torsion_safe_selector,best_fallback,False,True,0.8185,0.8185,0.0,0.8185,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4212,torsion_safe_selector,best_fallback,False,True,0.8155,0.8155,0.0,0.8155,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4213,torsion_safe_selector,best_fallback,False,True,0.815,0.815,0.0,0.815,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4214,torsion_safe_selector,best_fallback,False,True,0.8095,0.8095,0.0,0.8095,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4215,torsion_safe_selector,best_fallback,False,True,0.816,0.816,0.0,0.816,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4216,torsion_safe_selector,best_fallback,False,True,0.817,0.817,0.0,0.817,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4217,torsion_safe_selector,best_fallback,False,True,0.816,0.816,0.0,0.816,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4218,torsion_safe_selector,best_fallback,False,True,0.8135,0.8135,0.0,0.8135,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4219,torsion_safe_selector,best_fallback,False,True,0.814,0.814,0.0,0.814,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4220,torsion_safe_selector,best_fallback,False,True,0.81,0.81,0.0,0.81,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4221,torsion_safe_selector,best_fallback,False,True,0.8175,0.8175,0.0,0.8175,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4222,torsion_safe_selector,best_fallback,False,True,0.8165,0.8165,0.0,0.8165,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4223,torsion_safe_selector,best_fallback,False,True,0.8185,0.8185,0.0,0.8185,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4224,torsion_safe_selector,best_fallback,False,True,0.815,0.815,0.0,0.815,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4225,torsion_safe_selector,best_fallback,False,True,0.8125,0.8125,0.0,0.8125,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4226,torsion_safe_selector,best_fallback,False,True,0.8105,0.8105,0.0,0.8105,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4227,torsion_safe_selector,best_fallback,False,True,0.8095,0.8095,0.0,0.8095,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4228,torsion_safe_selector,best_fallback,False,True,0.815,0.815,0.0,0.815,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4229,torsion_safe_selector,best_fallback,False,True,0.8175,0.8175,0.0,0.8175,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4200,torsion_safe_selector,best_fallback,False,True,0.817,0.817,0.0,0.817,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4201,torsion_safe_selector,best_fallback,False,True,0.816,0.816,0.0,0.816,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4202,torsion_safe_selector,best_fallback,False,True,0.8155,0.8155,0.0,0.8155,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4203,torsion_safe_selector,best_fallback,False,True,0.818,0.818,0.0,0.818,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4204,torsion_safe_selector,best_fallback,False,True,0.814,0.814,0.0,0.814,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4205,torsion_safe_selector,best_fallback,False,True,0.818,0.818,0.0,0.818,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4206,torsion_safe_selector,best_fallback,False,True,0.8185,0.8185,0.0,0.8185,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4207,torsion_safe_selector,best_fallback,False,True,0.8135,0.8135,0.0,0.8135,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4208,torsion_safe_selector,best_fallback,False,True,0.82,0.82,0.0,0.82,0.0,0.002,0.0
fashion_mnist_mlp_N4_W64_input_noise_monomial_weight_seed4209,torsion_safe_selector,best_fallback,False,True,0.8105,0.8105,0.0,0.8105,0.0,0.002,0.0
