candidate_origin,residual_id,run_id,dataset,n_models,width,policy,certified_torsion,detected_order,estimated_period,estimated_index,index_certification_status,lift_gate_decision,capacity_matched,candidate_method,candidate_rank,rank_decision,lift_allowed_by_index
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4217:1-2-3:431,mnist_mlp_N4_W64_none_monomial_activation_seed4217,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,loose_1e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-1-2:420,mnist_mlp_N4_W64_none_monomial_activation_seed4215,mnist,4,64,diagnostic_5e-2,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,9,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,12,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_0,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,16,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,1,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,2,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,3,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,4,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,6,no_certified_period_index,False
real_residual,mnist_mlp_N3_W64_none_monomial_activation_seed4221:0-1-2:51,mnist_mlp_N3_W64_none_monomial_activation_seed4221,mnist,3,64,strict_fpr_001,False,1,,,not_certified,uncertain_candidate_no_lift,False,uncertain_candidate_no_lift,8,no_certified_period_index,False
